date,activity_group,cadence_spm,ground_contact_time_ms,vertical_oscillation_cm,vertical_ratio_pct,stride_length_m,running_power_w
2026-06-29,KC/Trail,130,286,6.82,8.62,0.8,212
2026-06-30,Running,146,272,7.97,8.67,0.91,255
